gene,value
ADK,8200
ADM,10374
ADM2,1825
ADM5,527
ADNP,22432
ADNP2,7459
ADO,5353
ADORA1,259
ADORA2A,110
ADORA2B,1296
ADORA3,96
ADPGK,16156
ADPRH,3021
ADPRHL1,330
ADPRM,1200
ADPRS,7448
ADRA1A,21
ADRA1B,61
ADRA1D,49
ADRA2A,6711
ADRA2B,125
ADRA2C,239
ADRB1,138
ADRB2,4683
ADRB3,22
ADRM1,21675
ADSL,923
ADSS1,2587
ADSS2,10222
ADTRP,1738
AEBP1,21740
AEBP2,8973
AEN,5504
AFAP1,12101
AFAP1L1,2292
AFAP1L2,10411
AFDN,28024
AFF1,19088
AFF2,1384
AFF3,2489
AFF4,26659
AFG1L,670
AFG3L2,17124
AFM,0
AFMID,6006
AFP,1
AFTPH,10943
AGA,4923
AGAP1,4282
AGAP2,5932
AGAP3,12317
AGAP4,1994
AGAP5,125
AGAP6,416
AGAP9,2335
AGBL1,50
AGBL2,461
AGBL3,440
AGBL4,118
AGBL5,2668
AGER,2828
AGFG1,11268
AGFG2,8713
AGGF1,3862
AGK,6027
AGL,5338
AGMAT,858
AGMO,148
AGO1,12268
AGO2,20194
AGO3,7004
AGO4,6192
AGPAT1,8032
AGPAT2,8521
AGPAT3,21732
AGPAT4,1295
AGPAT5,8870
AGPS,8046
AGR2,2361
AGR3,63
AGRN,33297
AGRP,0
AGT,104
AGTPBP1,5499
AGTR1,80
AGTR2,3
AGTRAP,6752
AGXT,6
AGXT2,0
AHCTF1,11385
AHCY,34197
AHCYL1,14555
AHCYL2,6798
AHDC1,19523
AHI1,3031
AHNAK,310606
AHNAK2,28857
AHR,9895
AHRR,30
AHSA1,15708
AHSG,44
AHSP,0
AICDA,251
AIDA,6967
AIF1,7508
AIF1L,10947
AIFM1,6834
AIFM2,3969
AIFM3,140
AIG1,3454
AIM2,4460
AIMP1,11103
AIMP2,4737
AIP,10762
AIPL1,5
AIRE,819
AJAP1,266
AJM1,4338
AJUBA,7619
AK1,1119
AK2,29172
AK3,19065
AK4,3929
AK4P3,69
AK5,252
AK6,1539
AK7,204
AK8,631
AK9,1011
AKAIN1,0
AKAP1,12709
AKAP10,6030
AKAP11,11111
AKAP12,4394
AKAP13,35646
AKAP14,21
AKAP17A,22355
AKAP3,196
AKAP4,0
AKAP5,952
AKAP6,824
AKAP7,1245
AKAP8,10707
AKAP8L,17870
AKAP9,19171
AKIP1,4088
AKIRIN1,11142
AKIRIN2,9498
AKNA,37193
AKNAD1,21
AKR1A1,28962
AKR1B1,9252
AKR1B10,15040
AKR1B15,632
AKR1C1,6663
AKR1C2,5981
AKR1C3,2637
AKR1C4,45
AKR1C8P,6
AKR1D1,27
AKR1E2,470
AKR7A2,6129
AKR7A3,295
AKT1,29060
AKT1S1,18208
AKT2,35803
AKT3,5651
AKTIP,5346
ALAD,12200
ALAS1,11464
ALAS2,0
ALB,6
ALCAM,13422
ALDH16A1,12377
ALDH18A1,8411
ALDH1A1,19778
ALDH1A2,311
ALDH1A3,3604
ALDH1B1,3225
ALDH1L1,1529
ALDH1L2,1253
ALDH2,23953
ALDH3A1,35142
ALDH3A2,28684
ALDH3B1,1919
ALDH3B2,22174
ALDH4A1,8607
ALDH5A1,6656
ALDH6A1,3758
ALDH7A1,20372
ALDH8A1,40
ALDH9A1,28809
ALDOA,4411
ALDOB,79
ALDOC,7936
ALG1,6103
ALG10,1141
ALG10B,2474
ALG11,1160
ALG12,7225
ALG13,5983
ALG14,1410
ALG1L2,56
ALG2,6542
ALG3,6680
ALG5,4619
ALG6,3827
ALG8,4707
ALG9,1133
ALK,27
ALKAL1,3
ALKAL2,214
ALKBH1,2178
ALKBH2,2926
ALKBH3,4022
